old_precinct_id,new_district_id,fragment_population,weight
4530375,11,1588,0.2893586005830904
4530375,17,78,0.014212827988338192
4530401,27,10088,0.9872773536895675
4530401,37,130,0.01272264631043257
4530402,27,14911,0.9131606344540388
4530402,37,1418,0.08683936554596117
4530403,27,5447,0.7561077179344808
4530403,37,1757,0.24389228206551916
4530404,27,5188,0.2562608051370709
4530404,37,15057,0.7437391948629292
4530405,27,2263,0.2920376822815847
4530405,37,5486,0.7079623177184153
4530406,27,9258,0.562727935813275
4530406,37,7194,0.43727206418672504
4530407,27,159,0.011776905414413747
4530407,37,13342,0.9882230945855862
4530408,27,2847,0.24196838347781743
4530408,37,8919,0.7580316165221825
4530409,37,7072,1.0
4530410,37,9016,1.0
4530411,27,3230,0.22190162132453972
4530411,37,11326,0.7780983786754603
4530412,37,1114,1.0
4530413,27,55,0.0075998341854359545
4530413,37,7182,0.992400165814564
4530414,27,2383,0.14889097157138395
4530414,37,13622,0.851109028428616
4530415,37,3311,1.0
4530416,27,5286,0.6226881847096242
4530416,37,3203,0.3773118152903758
4530417,27,3591,0.288572806171649
4530417,37,8853,0.7114271938283511
4530418,27,55,0.3900709219858156
4530418,37,86,0.6099290780141844
4530419,37,4025,1.0
4530420,37,12362,1.0
4530421,10,1208,0.19774103781306268
4530421,37,4901,0.8022589621869373
4530422,37,4759,1.0
4530423,37,15598,1.0
4530424,10,0,0.0
4530424,37,8167,1.0
4530425,37,3543,1.0
4530426,37,9157,1.0
4530427,37,6264,1.0
4530428,10,3133,0.8033333333333333
4530428,37,767,0.19666666666666666
4530429,10,0,0.0
4530429,37,22123,1.0
4530430,37,5423,1.0
4530431,37,19379,1.0
4530432,37,127,1.0
4530433,37,9806,1.0
4530434,37,344,1.0
4530435,37,14803,1.0
4530436,37,1918,1.0
4530437,10,1526,0.19072615923009623
4530437,37,6475,0.8092738407699037
4530438,10,1028,0.1531357068374795
4530438,37,5685,0.8468642931625204
4530439,37,7573,1.0
4530440,37,7843,1.0
4530441,37,11486,1.0
4530442,37,5696,1.0
4530443,37,18781,1.0
4530444,37,2130,1.0
4530446,37,5277,1.0
4530447,37,10055,1.0
4530448,37,16410,1.0
4530450,27,2183,0.12168338907469342
4530450,37,15757,0.8783166109253066
4530451,37,10513,1.0
4530452,37,11266,1.0
4530454,37,5687,1.0
4530458,37,8498,1.0
4530460,37,8997,1.0
4530461,37,11231,1.0
4530463,37,9850,1.0
